no,card_no,EN_name,KR_name,base_ex,dir,lo_1st,lo_2st,lo_3st,mo_1st,mo_2st,mo_3st,wo_1st,wo_2st,wo_3st
28,마이너,wands 7,완드 7,"용기, 토론",정방향,Seven of Wands (완드의 세븐): 과거에는 연애에서의 방어적인 자세나 도전에 직면했을 수 있습니다. 자신의 입장을 올바르게 표현하지 못했을 수 있습니다.,"Seven of Cups (컵의 세븐): 많은 선택과 환상을 나타냅니다. 현재 당신은 여러 가지 선택 사이에서 혼란스러움을 느낄 수 있으며, 현실과 상상 사이에서 갈등을 겪고 있을 수 있습니다.","일곱 번째 카드는 ""완드 일곱 번째(또는 7)""입니다. 이 카드는 성공과 성취의 경계, 발전과 진화를 상징합니다. 연애 관계에서는 두 사람이 함께 성장하고, 새로운 도전을 통해 더 나은 관계를 구축하게 될 것입니다.",1st완드 7돈,2st완드 7돈,3st완드 7돈,1st완드 7일,2st완드 7일,3st완드 7일
29,마이너,wands 8,완드 8,"활동성, 재빠름",정방향,Eight of Wands (완드의 에잇): 연애에서의 빠른 발전이나 진전이 없었을 수 있습니다. 관계에서의 움직임이 부족했을 수 있습니다.,"Eight of Cups (컵의 에잇): 이탈과 전환을 상징합니다. 당신은 현재 관계나 상황에서 이별을 고려하거나, 새로운 시작을 위해 과거를 떠나고자 할 수 있습니다.","여덟 번째 카드는 ""완드 여덟 번째(또는 8)""입니다. 이 카드는 행운과 풍요, 풍성한 보상을 나타냅니다. 연애 관계에서는 두 사람이 서로에게 풍요로움을 가져다줄 것이며, 행복과 만족을 더욱 높일 수 있을 것입니다.",1st완드 8돈,2st완드 8돈,3st완드 8돈,1st완드 8일,2st완드 8일,3st완드 8일
30,마이너,wands 9,완드 9,억압된 상황에서의 강함,정방향,Nine of Wands (완드의 나인): 이전에는 연애에서의 인내와 투쟁에 직면했을 수 있습니다. 어려운 시간에도 불구하고 계속해서 싸웠을 수 있습니다.,Nine of Cups (컵의 나인): 만족과 충족을 상징합니다. 당신은 현재 상황에서 만족스럽고 충실한 관계를 즐기고 있을 것입니다. 자신의 욕구와 소망을 이룬 느낌을 받을 수 있습니다.,완드 아홉 번째 (Nine of Wands): 이 카드는 인내와 강인함을 상징합니다. 연애 관계에서는 어려움을 극복하고 더 강하고 안정된 관계를 형성하기 위해 노력하고 있는 것을 나타냅니다. 어려운 시기에도 서로를 지탱하고 서로에게 희망을 줄 준비가 되어 있음을 시사합니다.,1st완드 9돈,2st완드 9돈,3st완드 9돈,1st완드 9일,2st완드 9일,3st완드 9일
31,마이너,wands 10,완드 10,"억압, 너무 많은 재산",정방향,Ten of Wands (완드의 텐): 과거에는 연애에서의 부담이나 짐이 컸을 수 있습니다. 관계에서의 과중한 책임이나 압박이 있었을 수 있습니다.,"Ten of Cups (컵의 텐): 가정적인 행복과 만족을 상징합니다. 당신은 현재 가족이나 파트너와 함께 행복한 시간을 보내며, 모든 면에서 만족스러운 관계를 형성하고 있을 것입니다.","완드 열 번째 (Ten of Wands): 이 카드는 부담과 책임을 나타냅니다. 연애 관계에서는 어떤 도전적인 상황에 직면하고 있을 수 있으며, 이로 인해 어려움을 겪을 수 있습니다. 하지만 두 사람이 서로에 대한 약속을 지키고 함께 노력한다면, 모든 어려움을 극복할 수 있을 것입니다.",1st완드 10돈,2st완드 10돈,3st완드 10돈,1st완드 10일,2st완드 10일,3st완드 10일
32,마이너,wands Page,완드 시종,"젊은 남성, 충실",정방향,Page of Wands (완드의 페이지): 연애에서의 탐험과 발견이 부족했을 수 있습니다. 새로운 경험을 하지 못하거나 자신의 열정을 탐구하지 못했을 수 있습니다.,"Page of Cups (컵의 페이지): 감수성과 창의성을 나타냅니다. 당신은 현재 감정적으로 민감하고 창의적인 모습을 보일 수 있으며, 새로운 감정이나 아이디어에 열려 있을 것입니다.","완드 열한 번째 (Page of Wands): 이 카드는 열정과 창의성을 상징합니다. 연애 관계에서는 새로운 시작의 징후를 나타내며, 새로운 사랑의 모험에 대한 열망을 시사합니다. 두 사람이 함께 새로운 경험을 나누고 즐길 준비가 되어 있음을 보여줍니다.",1st완드 시종돈,2st완드 시종돈,3st완드 시종돈,1st완드 시종일,2st완드 시종일,3st완드 시종일
33,마이너,wands Knight,완드 기사,"출발, 친숙한 젊은이",정방향,Knight of Wands (완드의 나이트): 과거에는 연애에서의 열정적인 행동이나 모험이 부족했을 수 있습니다. 관계에서의 열정을 적극적으로 추구하지 않았을 수 있습니다.,"Knight of Cups (컵의 나이트): 로맨틱하고 감성적인 모습을 상징합니다. 당신은 현재 로맨틱한 모험을 즐기거나, 감성적인 연애를 추구하고 있을 것입니다.",완드 열두 번째 (Knight of Wands): 이 카드는 모험과 도전을 상징합니다. 연애 관계에서는 새로운 시작이나 열정적인 로맨스에 대한 욕구를 나타냅니다. 두 사람이 함께 모험을 나누고 새로운 경험을 추구함으로써 서로에 대한 관심과 애정을 높일 수 있을 것입니다.,1st완드 기사돈,2st완드 기사돈,3st완드 기사돈,1st완드 기사일,2st완드 기사일,3st완드 기사일
34,마이너,wands Queen,완드 여왕,"친숙한, 정적",정방향,Queen of Wands (완드의 퀸): 연애에서의 열정과 자신감을 충분히 발휘하지 못했을 수 있습니다. 자신을 충분히 표현하지 못했을 수 있습니다.,"Queen of Cups (컵의 퀸): 감정적인 지혜와 이해력을 상징합니다. 당신은 현재 감정적으로 안정되어 있으며, 다른 사람들의 감정을 이해하고 지지해주는 모습을 보일 것입니다.","완드 열세 번째 (Queen of Wands): 이 카드는 자신감과 열정을 상징합니다. 연애 관계에서는 자신과 상대방을 위해 힘을 발휘하고, 열정적으로 관계를 유지하고자 하는 의지를 나타냅니다. 두 사람이 서로를 인정하고 존중하며, 서로의 열정을 공유할 준비가 되어 있음을 시사합니다.",1st완드 여왕돈,2st완드 여왕돈,3st완드 여왕돈,1st완드 여왕일,2st완드 여왕일,3st완드 여왕일
35,마이너,wands King,완드 왕,"정직, 양심적",정방향,King of Wands (완드의 킹): 이전에는 연애에서의 리더십이나 결단력이 부족했을 수 있습니다. 상대방을 충분히 지지하거나 인도하지 못했을 수 있습니다.,"King of Cups (컵의 킹): 감정적인 리더십과 안정성을 상징합니다. 당신은 현재 감정적으로 균형을 유지하고 있으며, 상대방을 지지하고 보호하는 역할을 맡고 있을 것입니다.","완드 열네 번째 (King of Wands): 이 카드는 리더십과 결단력을 상징합니다. 연애 관계에서는 두 사람 모두가 자신의 목표와 가치를 이해하고, 서로를 이끌어 나가며 행동하는 데 필요한 결단력과 자신감을 보여줍니다. 서로를 지지하고 서로를 격려함으로써, 강하고 안정된 관계를 형성할 수 있을 것입니다.",1st완드 왕돈,2st완드 왕돈,3st완드 왕돈,1st완드 왕일,2st완드 왕일,3st완드 왕일
36,마이너,swords 1,소드 1,"힘의 승리, 권력",정방향,Ace of Cups (사랑의 Ace): 연애에서 새로운 감정이나 사랑의 가능성을 경험하지 못했을 수 있습니다. 과거에는 감정적인 시작이나 새로운 사랑의 기회를 놓친 적이 있을 수 있습니다.,"Ace of Swords (소드의 에이스): 이 카드는 새로운 시작과 결단력을 상징합니다. 연애에서 나온 경우, 현재 당신이나 상대방이 새로운 관점이나 해결책을 찾고 있을 수 있습니다. 또한 이 카드는 솔직한 대화나 진실한 이해를 상징하기도 합니다.","소드 에이스 (Ace of Swords): 이 카드는 진리와 깨달음을 상징합니다. 연애 관계에서는 새로운 인식이나 이해가 관계에 들어올 수 있음을 시사합니다. 두 사람이 서로에 대한 진실된 감정을 이해하고, 관계의 문제를 분명히 이해하고 해결하려는 노력을 보여줍니다.",1st소드 1돈,2st소드 1돈,3st소드 1돈,1st소드 1일,2st소드 1일,3st소드 1일
37,마이너,swords 2,소드 2,"균형, 조건부의 조화",정방향,Two of Cups (사랑의 둘): 이전에는 연애에서 깊은 연결이나 파트너십을 형성하지 못했을 수 있습니다. 관계에서의 조화와 조화를 찾는 데 어려움이 있었을 수 있습니다.,"Two of Swords (소드의 투): 이 카드는 결정의 어려움과 막힘을 나타냅니다. 연애에서 나온 경우, 당신이나 상대방이 어떤 선택을 해야 할 때로, 현재 상황에서 잠정적인 균형이나 안정을 유지하고자 할 수 있습니다.",소드 두 번째 (Two of Swords): 이 카드는 결정과 균형을 나타냅니다. 연애 관계에서는 양측이 서로의 관점을 이해하고 대화를 통해 해결책을 찾으려고 할 것입니다. 그러나 때로는 어려운 선택이나 갈등 상황에 직면할 수도 있습니다.,1st소드 2돈,2st소드 2돈,3st소드 2돈,1st소드 2일,2st소드 2일,3st소드 2일
38,마이너,swords 3,소드 3,"후퇴, 단절",정방향,Three of Cups (사랑의 셋): 과거에는 연애에서 친구나 사회적인 관계에서 즐거운 순간을 충분히 공유하지 못했을 수 있습니다. 관계에서의 기쁨과 즐거움을 경험하지 못한 적이 있을 수 있습니다.,"Three of Swords (소드의 쓰리): 이 카드는 실망과 상실을 상징합니다. 연애에서 나온 경우, 당신이나 상대방이 갈등이나 상처를 겪고 있을 수 있으며, 이로 인해 감정적인 아픔을 느낄 수 있습니다. 이 카드는 갈등을 해결하고 상처를 치유하기 위해 진실된 감정 표현이 중요함을 암시합니다.",소드 세 번째 (Three of Swords): 이 카드는 슬픔과 상실을 상징합니다. 연애 관계에서는 갈등이나 분리로 인해 상처를 받을 수 있음을 나타냅니다. 두 사람이 서로를 위로하고 서로의 감정을 이해하는 과정을 거쳐 갈등을 극복할 수 있을 것입니다.,1st소드 3돈,2st소드 3돈,3st소드 3돈,1st소드 3일,2st소드 3일,3st소드 3일
39,마이너,swords 4,소드 4,"은둔, 회복",정방향,Four of Cups (사랑의 넷): 연애에서 과거에는 만족스러운 관계나 사랑의 제안을 무시했을 수 있습니다. 사랑의 기회를 놓치거나 무시한 적이 있을 수 있습니다.,"Four of Swords (소드의 포): 이 카드는 쉼과 회복을 나타냅니다. 연애에서 나온 경우, 현재 당신이나 상대방이 관계에서 잠시 멀어져서 감정을 정리하고 싶어하는 시기일 수 있습니다. 이 카드는 휴식과 내적 조화를 추구하는 중요성을 강조합니다.",소드 네 번째 (Four of Swords): 이 카드는 휴식과 회복을 나타냅니다. 연애 관계에서는 갈등이나 스트레스로 인해 피곤할 수 있습니다. 이 카드는 두 사람이 서로에게 시간과 공간을 주고 재충전할 수 있는 기회를 가져야 함을 암시합니다.,1st소드 4돈,2st소드 4돈,3st소드 4돈,1st소드 4일,2st소드 4일,3st소드 4일
40,마이너,swords 5,소드 5,"타락, 폐지",정방향,Five of Cups (사랑의 다섯): 이전에는 연애에서 슬픔이나 손실을 경험했을 수 있습니다. 과거에는 실망이나 아픔을 겪은 적이 있을 수 있습니다.,"Five of Swords (소드의 파이브): 이 카드는 패배와 갈등을 상징합니다. 연애에서 이 카드가 나온다면, 당신이나 상대방 사이에 갈등이나 불화가 있을 수 있습니다. 이 카드는 어떤 상황에서는 승리를 추구하는 것보다 관계를 유지하는 것이 중요함을 암시합니다.",소드 다섯 번째 (Five of Swords): 이 카드는 패배와 갈등을 상징합니다. 연애 관계에서는 자존심과 자아를 보호하기 위한 갈등이 발생할 수 있습니다. 이 카드는 서로를 이해하고 타협할 준비가 필요함을 나타냅니다.,1st소드 5돈,2st소드 5돈,3st소드 5돈,1st소드 5일,2st소드 5일,3st소드 5일
41,마이너,swords 6,소드 6,"작업을 끝마침, 중개자",정방향,Six of Cups (사랑의 여섯): 연애에서는 과거의 추억이나 과거의 연인에 대한 감정에 매달려 있었을 수 있습니다. 이전의 연애 경험이 현재의 관계에 영향을 미칠 수 있습니다.,"Six of Swords (소드의 식스): 이 카드는 이동과 변화를 나타냅니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 어려운 상황을 벗어나기 위해 노력하고 있을 수 있습니다. 이는 어려움을 극복하고 새로운 시작을 찾으려는 의지를 보여줍니다.",소드 여섯 번째 (Six of Swords): 이 카드는 이탈과 변화를 나타냅니다. 연애 관계에서는 어려움을 극복하고 새로운 시작을 위해 함께 여행하는 과정을 나타냅니다. 두 사람이 함께 어려운 시간을 극복하고 새로운 시작을 향해 나아가고 있음을 보여줍니다.,1st소드 6돈,2st소드 6돈,3st소드 6돈,1st소드 6일,2st소드 6일,3st소드 6일
42,마이너,swords 7,소드 7,"기획, 계획",정방향,Seven of Cups (사랑의 일곱): 과거에는 연애에서 현실적이지 못한 꿈이나 욕망에 사로잡혔을 수 있습니다. 현실적인 사랑의 가능성을 인식하지 못한 적이 있을 수 있습니다,"Seven of Swords (소드의 세븐): 이 카드는 속임수와 배신을 나타냅니다. 연애에서 나온 경우, 당신이나 상대방이 서로를 속이거나 믿음을 잃은 상황일 수 있습니다. 이 카드는 주의와 신뢰의 중요성을 상기시킵니다.",소드 일곱 번째 (Seven of Swords): 이 카드는 배신과 속임수를 나타냅니다. 연애 관계에서는 신뢰와 솔직함의 중요성을 강조합니다. 두 사람이 서로를 솔직하게 대하고 신뢰할 수 있어야 갈등을 극복하고 관계를 유지할 수 있습니다.,1st소드 7돈,2st소드 7돈,3st소드 7돈,1st소드 7일,2st소드 7일,3st소드 7일
43,마이너,swords 8,소드 8,"구속된 힘, 비난",정방향,Eight of Cups (사랑의 여덟): 이전에는 연애에서 충족되지 않은 욕구나 관계에서의 실망으로 인해 관계를 떠나거나 포기한 경험이 있을 수 있습니다,"Eight of Swords (소드의 에잇): 이 카드는 감옥과 국한을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 제한된 상황에 갇혀 있는 것처럼 느낄 수 있습니다. 이 카드는 현재의 제약을 인식하고 벗어나기 위한 대안을 찾는 것이 중요함을 암시합니다.",소드 여덟 번째 (Eight of Swords): 이 카드는 감옥과 굴레를 상징합니다. 연애 관계에서는 자신을 제한하거나 가두는 것과 같은 갈등을 겪을 수 있습니다. 이 카드는 자유로움과 변화를 향해 나아가야 함을 암시합니다.,1st소드 8돈,2st소드 8돈,3st소드 8돈,1st소드 8일,2st소드 8일,3st소드 8일
44,마이너,swords 9,소드 9,"실망, 환멸",정방향,Nine of Cups (사랑의 아홉): 과거에는 연애에서 충족과 만족을 느끼지 못한 적이 있을 수 있습니다. 관계에서의 진정한 행복이나 만족을 찾는 데 어려움을 겪었을 수 있습니다.,"Nine of Swords (소드의 나인): 이 카드는 불안과 걱정을 상징합니다. 연애에서 나온 경우, 당신이나 상대방이 과거의 실수나 잘못된 선택에 대해 자책하거나 미래에 대해 걱정할 수 있습니다. 이 카드는 감정적인 고통과 불안을 겪고 있는 상황임을 나타내며, 자기 자신을 안정시키고 과거를 놓고 앞으로 나아가는 것이 중요함을 암시합니다.",소드 아홉 번째 (Nine of Swords): 이 카드는 불안과 고통을 상징합니다. 연애 관계에서는 걱정이나 두려움으로 인해 스트레스를 받을 수 있습니다. 이 카드는 서로를 위로하고 서로의 감정을 이해하는 과정이 필요함을 나타냅니다.,1st소드 9돈,2st소드 9돈,3st소드 9돈,1st소드 9일,2st소드 9일,3st소드 9일
45,마이너,swords 10,소드 10,"황폐, 고통",정방향,Ten of Cups (사랑의 열): 연애에서는 과거에 가정이나 가족적인 만족을 찾지 못했을 수 있습니다. 연애의 최종 목표인 행복하고 안정된 관계를 형성하지 못한 적이 있을 수 있습니다.,"Ten of Swords (소드의 텐): 이 카드는 실패와 절망을 상징합니다. 연애에서 이 카드가 나온다면, 당신이나 상대방이 극단적인 상황이나 끝내기를 경험하고 있을 수 있습니다. 이 카드는 과거의 상처나 갈등이 현재의 관계에 부정적인 영향을 미치고 있을 수 있음을 나타냅니다.","소드 열 번째 (Ten of Swords): 이 카드는 실패와 끝을 상징합니다. 연애 관계에서는 갈등이나 분리로 인해 끝났음을 나타냅니다. 이 카드는 이별과 상실에 직면할 수 있지만, 새로운 시작을 위한 기회가 올 것임을 암시합니다.",1st소드 10돈,2st소드 10돈,3st소드 10돈,1st소드 10일,2st소드 10일,3st소드 10일
46,마이너,swords Page,소드 시종,"감시, 경계",정방향,Page of Cups (사랑의 Page): 과거에는 연애에서 어리석은 행동이나 감정적인 불안정함을 경험했을 수 있습니다. 관계에서의 자기 표현에 어려움을 겪은 적이 있을 수 있습니다.,"Page of Swords (소드의 페이지): 현재 연애 상황에서, 당신이나 상대방이 호기심이 많고 새로운 관점을 탐구하고자 할 수 있습니다. 새로운 아이디어를 받아들이고 상대방과의 소통에 열린 자세를 보일 수 있습니다. 그러나 때로는 너무 직설적이거나 비판적일 수도 있으니 주의가 필요합니다.",소드 페이지 (Page of Swords): 이 카드는 호기심과 관찰력을 상징합니다. 연애 관계에서는 새로운 관점과 이해를 가져오는 새로운 사람과의 만남을 나타냅니다. 이 카드는 새로운 사랑의 시작이나 재정의된 관계에 대한 징후일 수 있습니다.,1st소드 시종돈,2st소드 시종돈,3st소드 시종돈,1st소드 시종일,2st소드 시종일,3st소드 시종일
47,마이너,swords Knight,소드 기사,"용감함, 격노",정방향,Knight of Cups (사랑의 Knight): 이전에는 연애에서 로맨틱한 욕망이나 판타지에 사로잡혔을 수 있습니다. 실제로 현실적인 사랑을 추구하지 못한 적이 있을 수 있습니다.,"Knight of Swords (소드의 나이트): 이 카드가 나오면 현재 연애 상황에서 결정력 있고 야심 차게 행동할 가능성이 있습니다. 당신이나 상대방이 목표를 향해 빠르게 나아가려고 할 수 있으며, 때로는 너무 강압적이거나 과격한 모습을 보일 수 있습니다. 안정적인 소통과 조율이 필요할 것입니다.","소드 기사 (Knight of Swords): 이 카드는 도전과 열정을 상징합니다. 연애 관계에서는 적극적으로 행동하고, 목표를 향해 나아가려는 의지를 나타냅니다. 이 카드는 두 사람이 함께 어려운 시기를 극복하고 관계를 발전시키고자 하는 결단력을 보여줍니다.",1st소드 기사돈,2st소드 기사돈,3st소드 기사돈,1st소드 기사일,2st소드 기사일,3st소드 기사일
48,마이너,swords Queen,소드 여왕,"결단력 있는, 미망인",정방향,Queen of Cups (사랑의 Queen): 연애에서 과거에는 자기 희생이나 온정에 중점을 두었을 수 있습니다. 과거의 감정적인 상처로부터 회복되지 못한 적이 있을 수 있습니다.,"Queen of Swords (소드의 퀸): 연애에서 이 카드가 나오면, 객관적이고 이성적인 판단력을 요구하는 상황일 수 있습니다. 당신이나 상대방이 감정보다는 논리와 분석에 의존하는 경향이 있을 수 있습니다. 상대방의 감정을 존중하고 이해하는 것이 중요할 것입니다.",소드 여왕 (Queen of Swords): 이 카드는 진취적이고 냉철한 여성을 상징합니다. 연애 관계에서는 자신의 욕구와 가치를 명확히 이해하고 표현할 준비가 되어 있는 것을 나타냅니다. 이 카드는 솔직하고 직접적인 의사 표현이 관계에 중요함을 강조합니다.,1st소드 여왕돈,2st소드 여왕돈,3st소드 여왕돈,1st소드 여왕일,2st소드 여왕일,3st소드 여왕일
49,마이너,swords King,소드 왕,"재판관, 정의",정방향,King of Cups (사랑의 King): 과거에는 연애에서 감정적인 안정을 찾지 못했을 수 있습니다. 감정적인 냉담함이나 제어력을 유지하지 못한 적이 있을 수 있습니다.,"King of Swords (소드의 킹): 이 카드는 현명하고 권위 있는 자세를 상징합니다. 연애에서 나온 경우, 당신이나 상대방이 현실적이고 지적인 접근 방식을 취할 수 있습니다. 감정보다는 이성을 중시하고 문제를 분석하며 해결하려고 할 것입니다. 그러나 때로는 너무 냉담하거나 감정을 잊지 않도록 주의해야 합니다.","소드 왕 (King of Swords): 이 카드는 지성과 분별력을 상징합니다. 연애 관계에서는 두 사람 모두가 자신의 목표를 명확히 이해하고, 서로의 필요를 존중하며, 갈등을 해결하기 위한 노력을 기울일 준비가 되어 있는 것을 나타냅니다.",1st소드 왕돈,2st소드 왕돈,3st소드 왕돈,1st소드 왕일,2st소드 왕일,3st소드 왕일
50,마이너,cups 1,성배 1,"기쁨, 만족",정방향,Ace of Cups (사랑의 Ace): 연애에서 새로운 감정이나 사랑의 가능성을 경험하지 못했을 수 있습니다. 과거에는 감정적인 시작이나 새로운 사랑의 기회를 놓친 적이 있을 수 있습니다.,"Ace of Cups (컵의 에이스): 이 카드는 새로운 감정적인 시작과 사랑의 기회를 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 새로운 사랑을 만나거나 관계에서 새로운 감정적인 시작을 경험할 수 있음을 나타냅니다. 이 카드는 사랑과 감정적인 충만을 상징하며, 새로운 사랑의 탄생이나 감정적인 만족을 나타냅니다.","컵 에이스 (Ace of Cups): 이 카드는 새로운 감정의 시작과 사랑의 제안을 상징합니다. 연애 관계에서는 새로운 사랑의 기회를 나타내며, 서로에 대한 진심과 정성이 깊어지고 있는 시기를 나타냅니다.",1st성배 1돈,2st성배 1돈,3st성배 1돈,1st성배 1일,2st성배 1일,3st성배 1일
51,마이너,cups 2,성배 2,"사랑, 우정",정방향,Two of Cups (사랑의 둘): 이전에는 연애에서 깊은 연결이나 파트너십을 형성하지 못했을 수 있습니다. 관계에서의 조화와 조화를 찾는 데 어려움이 있었을 수 있습니다.,"Two of Cups (컵의 투): 이 카드는 동반자와 연합을 상징합니다. 연애에서 나온 경우, 당신과 상대방 사이에 강력한 유대나 조화가 있을 수 있습니다. 이 카드는 상호 이해와 협력을 강조하며, 서로에 대한 믿음과 애정을 나타냅니다.",컵 두 번째 (Two of Cups): 이 카드는 서로에 대한 연민과 깊은 이해를 상징합니다. 연애 관계에서는 서로에 대한 애정과 연결이 깊어지고 있는 상황을 나타냅니다. 이 카드는 서로를 향한 강한 애정과 믿음을 나타냅니다.,1st성배 2돈,2st성배 2돈,3st성배 2돈,1st성배 2일,2st성배 2일,3st성배 2일
52,마이너,cups 3,성배 3,"풍족함, 행복,",정방향,Three of Cups (사랑의 셋): 과거에는 연애에서 친구나 사회적인 관계에서 즐거운 순간을 충분히 공유하지 못했을 수 있습니다. 관계에서의 기쁨과 즐거움을 경험하지 못한 적이 있을 수 있습니다.,"Three of Cups (컵의 쓰리): 이 카드는 기쁨과 친밀함을 상징합니다. 연애에서 이 카드가 나오면, 당신과 상대방, 그리고 주변 사람들 간에 환한 관계와 기쁜 시간이 있을 수 있습니다. 이 카드는 사랑과 친구, 가족과의 연결을 강조하며, 즐거운 시간을 함께 보내는 것을 나타냅니다.",컵 세 번째 (Three of Cups): 이 카드는 기쁨과 친밀한 관계를 상징합니다. 연애 관계에서는 서로를 축하하고 기뻐하며 함께 시간을 보내는 즐거운 시기를 나타냅니다. 이 카드는 서로에 대한 지지와 친밀한 관계를 나타냅니다.,1st성배 3돈,2st성배 3돈,3st성배 3돈,1st성배 3일,2st성배 3일,3st성배 3일
53,마이너,cups 4,성배 4,"권태, 포식",정방향,Four of Cups (사랑의 넷): 연애에서 과거에는 만족스러운 관계나 사랑의 제안을 무시했을 수 있습니다. 사랑의 기회를 놓치거나 무시한 적이 있을 수 있습니다.,"Four of Cups (컵의 포): 이 카드는 만족스러움과 평온함에 대한 갈망을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 현재 상황에 만족하지 못하거나 내적인 고요함을 느낄 수 있음을 나타냅니다. 이 카드는 감정적인 실망이나 무관심에 대한 경고일 수 있습니다.",컵 네 번째 (Four of Cups): 이 카드는 무관심과 만족하지 못함을 나타냅니다. 연애 관계에서는 두 사람 사이에 만족하지 못하는 감정이나 무관심한 태도가 나타날 수 있습니다. 이 카드는 서로에 대한 관심과 소통이 필요함을 암시합니다.,1st성배 4돈,2st성배 4돈,3st성배 4돈,1st성배 4일,2st성배 4일,3st성배 4일
54,마이너,cups 5,성배 5,"손실, 별거 아닌 유산",정방향,Five of Cups (사랑의 다섯): 연애에서는 이전에 실망이나 손실을 경험했을 수 있습니다. 과거에는 잃어버린 것에 집착하거나 후회하는 경향이 있었을 수 있습니다.,"Five of Cups (컵의 파이브): 이 카드는 손실과 후회를 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 과거의 상처나 실망에 대해 아직 이겨내지 못하고 있을 수 있음을 나타냅니다. 이 카드는 부정적인 감정에 머물러 있거나 잃은 것에 집착하는 경향을 보여줍니다. 하지만 이것은 새로운 가능성을 놓치지 말아야 함을 상기시키는 경고일 수 있습니다.",컵 다섯 번째 (Five of Cups): 이 카드는 실망과 손실을 나타냅니다. 연애 관계에서는 어려운 시기를 겪거나 과거의 상처에 대한 슬픔이 나타날 수 있습니다. 이 카드는 이전의 상처를 극복하고 새로운 시작을 향해 나아가는 데 필요한 용기를 상기시킵니다.,1st성배 5돈,2st성배 5돈,3st성배 5돈,1st성배 5일,2st성배 5일,3st성배 5일
55,마이너,cups 6,성배 6,"과거를 돌이켜봄, 행복",정방향,Six of Cups (사랑의 여섯): 과거에는 연애에서 어린 시절의 기억이나 과거의 연인에 대한 애정에 매달려 있었을 수 있습니다. 과거의 연애 경험이 현재의 관계에 영향을 줄 수 있습니다.,"Six of Cups (컵의 식스): 이 카드는 추억과 자부심을 상징합니다. 연애에서 나온 경우, 당신이나 상대방이 과거의 추억에 기대거나 과거의 사랑을 회상할 수 있습니다. 이 카드는 순수한 사랑과 무덤덤한 기쁨을 나타내며, 어린 시절의 순수함을 회상하고 공유하는 시간을 의미할 수 있습니다.",컵 여섯 번째 (Six of Cups): 이 카드는 추억과 과거의 연애를 상징합니다. 연애 관계에서는 과거의 추억이나 공동의 경험이 중요하게 다가올 수 있습니다. 이 카드는 상호 간에 이해와 연결이 깊은 관계를 나타냅니다.,1st성배 6돈,2st성배 6돈,3st성배 6돈,1st성배 6일,2st성배 6일,3st성배 6일
56,마이너,cups 7,성배 7,"환상, 약간의 성공(영구적이진 않음)",정방향,Seven of Cups (사랑의 일곱): 연애에서는 이전에는 현실적이지 못한 꿈이나 욕망에 사로잡혔을 수 있습니다. 현재의 연애 관계에서 현실적인 선택을 내리지 못한 적이 있을 수 있습니다.,"Seven of Cups (컵의 세븐): 이 카드는 환상과 혼란을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 여러 가지 선택이나 욕망 사이에서 혼란스러울 수 있음을 나타냅니다. 이 카드는 현실과 상상 사이의 갈등을 보여주며, 현실적인 목표를 설정하고 선택하는 것이 중요함을 상기시킵니다.",컵 일곱 번째 (Seven of Cups): 이 카드는 환상과 선택의 어려움을 나타냅니다. 연애 관계에서는 선택의 어려움이 있거나 현실과 환상 사이에서 갈등할 수 있습니다. 이 카드는 목표를 명확히 하고 현실적인 선택을 하는 데 중요성을 강조합니다.,1st성배 7돈,2st성배 7돈,3st성배 7돈,1st성배 7일,2st성배 7일,3st성배 7일
57,마이너,cups 8,성배 8,"성공의 방치, 겸손",정방향,Eight of Cups (사랑의 여덟): 이전에는 연애에서 충족되지 않은 욕구나 관계에서의 실망으로 인해 관계를 떠나거나 포기한 경험이 있을 수 있습니다. 과거의 연애가 종료되었을 때의 감정이 있을 수 있습니다.,"Eight of Cups (컵의 에잇): 이 카드는 떠나기와 심리적인 성장을 상징합니다. 연애에서 이 카드가 나오면, 당신이나 상대방이 관계나 상황에서 떠나거나 더 나은 선택을 위해 발걸음을 옮길 수 있음을 나타냅니다. 이 카드는 자아 성장과 내적인 만족을 추구하는 욕구를 나타내며, 새로운 시작을 위한 용기를 보여줍니다.",컵 여덟 번째 (Eight of Cups): 이 카드는 이탈과 결별을 상징합니다. 연애 관계에서는 과거의 관계를 떠나 새로운 시작을 추구하거나 내적인 만족을 찾기 위해 여정을 떠날 수 있는 시기를 나타냅니다. 이 카드는 성장과 변화를 위해 과거를 떠나는 결정을 내리는 것을 상기시킵니다.,1st성배 8돈,2st성배 8돈,3st성배 8돈,1st성배 8일,2st성배 8일,3st성배 8일
